omega,tau
0.02004,133.16182
0.08908,8.36063
0.15812,2.72976
0.22716,1.33328
0.2962,0.78471
0.36524,0.51433
0.43428,0.36152
0.50333,0.26686
0.57237,0.20421
0.64141,0.16064
0.71045,0.12914
0.77949,0.10566
0.84853,0.0877
0.91757,0.07367
0.98661,0.06252
1.05565,0.05353
1.12469,0.04618
1.19373,0.0401
1.26278,0.03503
1.33182,0.03076
1.40086,0.02713
1.4699,0.02404
1.53894,0.02138
1.60798,0.01908
1.67702,0.01708
1.74606,0.01534
1.8151,0.01382
1.88414,0.01248
1.95318,0.01129
2.02222,0.01024
2.09127,0.00931
2.16031,0.00848
2.22935,0.00774
2.29839,0.00708
2.36743,0.00649
2.43647,0.00595
2.50551,0.00547
2.57455,0.00503
2.64359,0.00464
2.71263,0.00428
2.78167,0.00396
2.85071,0.00367
2.91976,0.0034
2.9888,0.00315
3.05784,0.00293
3.12688,0.00273
3.19592,0.00254
3.26496,0.00237
3.334,0.00221
3.40304,0.00206
3.47208,0.00193
3.54112,0.00181
3.61016,0.00169
3.67921,0.00159
3.74825,0.00149
3.81729,0.0014
3.88633,0.00132
3.95537,0.00124
4.02441,0.00117
4.09345,0.0011
4.16249,0.00104
4.23153,9.79E-04
4.30057,9.25E-04
4.36961,8.74E-04
4.43865,8.27E-04
4.5077,7.83E-04
4.57674,7.42E-04
4.64578,7.03E-04
4.71482,6.67E-04
4.78386,6.33E-04
4.8529,6.01E-04
4.92194,5.71E-04
4.99098,5.43E-04
5.06002,5.17E-04
5.12906,4.92E-04
5.1981,4.69E-04
5.26714,4.47E-04
5.33619,4.26E-04
5.40523,4.06E-04
5.47427,3.88E-04
5.54331,3.70E-04
5.61235,3.54E-04
5.68139,3.38E-04
5.75043,3.23E-04
5.81947,3.09E-04
5.88851,2.96E-04
5.95755,2.84E-04
6.02659,2.72E-04
6.09564,2.60E-04
6.16468,2.50E-04
6.23372,2.40E-04
6.30276,2.30E-04
6.3718,2.21E-04
6.44084,2.12E-04
6.50988,2.04E-04
6.57892,1.96E-04
6.64796,1.88E-04
6.717,1.81E-04
6.78604,1.74E-04
6.85508,1.68E-04
6.92413,1.61E-04
6.99317,1.55E-04
7.06221,1.50E-04
7.13125,1.44E-04
7.20029,1.39E-04
7.26933,1.34E-04
7.33837,1.29E-04
7.40741,1.25E-04
7.47645,1.21E-04
7.54549,1.16E-04
7.61453,1.12E-04
7.68357,1.09E-04
7.75262,1.05E-04
7.82166,1.01E-04
7.8907,9.81E-05
7.95974,9.49E-05
8.02878,9.18E-05
8.09782,8.89E-05
8.16686,8.60E-05
8.2359,8.33E-05
8.30494,8.06E-05
8.37398,7.81E-05
8.44302,7.57E-05
8.51206,7.33E-05
8.58111,7.11E-05
8.65015,6.89E-05
8.71919,6.69E-05
8.78823,6.49E-05
8.85727,6.29E-05
8.92631,6.11E-05
8.99535,5.93E-05
9.06439,5.75E-05
9.13343,5.59E-05
9.20247,5.43E-05
9.27151,5.27E-05
9.34056,5.12E-05
9.4096,4.98E-05
9.47864,4.84E-05
9.54768,4.71E-05
9.61672,4.58E-05
9.68576,4.45E-05
9.7548,4.33E-05
9.82384,4.21E-05
9.89288,4.10E-05
9.96192,3.99E-05
10.03096,3.88E-05
10.1,3.78E-05
10.16905,3.68E-05
10.23809,3.59E-05
10.30713,3.49E-05
10.37617,3.40E-05
10.44521,3.32E-05
10.51425,3.23E-05
10.58329,3.15E-05
10.65233,3.07E-05
10.72137,3.00E-05
10.79041,2.92E-05
10.85945,2.85E-05
10.92849,2.78E-05
10.99754,2.71E-05
11.06658,2.65E-05
11.13562,2.58E-05
11.20466,2.52E-05
11.2737,2.46E-05
