##Thermal_diffusivity_Avg,,,,,
,,,,,
##General_information,,,,,
#Database;perovskites.mdb,,,,,
#Instrument;#LFA_467 (LFA46700B-0808-L),,,,,
#Identity;First_Perovskite_measurements,,,,,
#Date;,,,,,
#Material;Ag8GeS6 - A4,,,,,
#Ref_temperature /°C;20,0,,,,
#Ref_density /(g/cm^3);5,470,,,,
#Sample;Ag8GeS6,,,,,
#Type;#Single_layer,,,,,
#Sample position;A4,,,,,
#Spotsize;3,7,,,,
#Filter;0,,,,,
#Thickness_RT/mm;1,9500,,,,
#Diameter/mm;10,0,,,,
,,,,,
#Operator;,,,,,
#Remark_mment;---,,,,,
#Cp_table;Cp_const,,,,,
#Expansion_table;dL_const,,,,,
#CalcCode;mix/mx/0-0-0,,,,,
#MFC_Purge1_Gas;ARGON,,,,,
#MFC_Purge2_Gas;NITROGEN,,,,,
#MFC_Protective_Gas;NITROGEN,,,,,
,,,,,
##Results,,,,,
#Shot number;#Time/min;#Temperature/°C;#Diffusivity/(mm^2/s);#Std_Dev/(mm^2/s);#Uncertainty/%,,,,,
1..2..3;4,3;25,026;0,09115;0,07898;-nan(ind),
4..5..6;55,7;0,000;0,12612;0,02894;6,6
7..8..9;101,8;-25,000;0,14091;0,00862;0,7
10..11..12;150,6;-49,999;0,14914;0,00495;0,6
13..14..15;202,7;-75,011;0,14644;0,00592;0,7
16..17..18..19..20;291,7;-99,999;0,15977;0,02172;2,1
21..22..23;350,1;-75,001;0,15970;0,02521;1,5
24..25..26;394,4;-49,996;0,13845;0,01224;0,8
27..28..29;436,5;-24,998;0,14602;0,00784;0,4
30..31..32;478,4;0,001;0,14000;0,00083;0,3
33..34..35;520,8;25,010;0,13555;0,00390;0,4
36..37..38;563,9;50,000;0,13152;0,00080;0,3
39..40..41;606,7;75,000;0,13401;0,00060;0,3
42..43..44;648,7;100,000;0,13042;0,00191;0,3
45..46..47;691,3;125,000;0,12870;0,00115;0,3
48..49..50;733,4;149,999;0,12807;0,00434;0,3
51..52..53;775,6;175,000;0,12050;0,00407;0,5
54..55..56;818,1;199,999;0,11601;0,00157;0,4
57..58..59;862,5;175,000;0,12117;0,00104;0,3
60..61..62;907,5;149,999;0,12481;0,00186;0,3
63..64..65;953,2;125,000;0,12829;0,00092;0,3
66..67..68;999,8;100,000;0,13067;0,00160;0,3
69..70..71;1047,5;75,000;0,12938;0,00011;0,2
72..73..74;1097,3;50,000;0,13250;0,00016;0,3
75..76..77;1150,9;25,024;0,13422;0,00051;0,2
78..79..80;1201,0;-0,001;0,13753;0,00053;0,2
81..82..83;1247,0;-25,000;0,13539;0,02797;1,8
84..85..86;1296,0;-49,998;0,14817;0,00879;0,5
87..88..89;1348,1;-74,998;0,15116;0,00587;0,7
90..91..92;1411,7;-100,006;0,14913;0,01240;1,5
93..94..95;1458,3;-75,007;0,15310;0,01552;0,8
96..97..98;1501,3;-49,992;0,13933;0,01087;0,5
99..100..101;1542,6;-25,000;0,13840;0,00544;0,5
102..103..104;1695,0;12,236;0,13536;0,00156;0,3
105..106..107;1738,3;25,025;0,13475;0,00275;0,4
