##Thermal_diffusivity,,,,,,,,,,,
,,,,,,,,,,,
##General_information,,,,,,,,,,,
#Database;ag_composites.mdb,,,,,,,,,,,
#Instrument;#LFA_467 (LFA46700B-0808-L),,,,,,,,,,,
#Identity;Ag_composite_high_temperature_upto2,,,,,,,,,,,
#Date;2024-03-13,,,,,,,,,,,
#Material;Ag8SiS6 - A2,,,,,,,,,,,
#Ref_temperature /°C;20,0,,,,,,,,,,
#Ref_density /(g/cm^3);5,640,,,,,,,,,,
#Sample;Ag8SiS6,,,,,,,,,,,
#Type;#Single_layer,,,,,,,,,,,
#Sample position;A2,,,,,,,,,,,
#Spotsize;3,7,,,,,,,,,,
#Filter;0,,,,,,,,,,,
#Thickness_RT/mm;1,7200,,,,,,,,,,
#Diameter/mm;9,800,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#Remark_mment;---,,,,,,,,,,,
#Cp_table;Ag8SiS6 - A2,,,,,,,,,,,
#Expansion_table;dL_const,,,,,,,,,,,
#CalcCode;Standard + p.c./l/1-0-0/1-0,,,,,,,,,,,
#MFC_Purge1_Gas;ARGON,,,,,,,,,,,
#MFC_Purge2_Gas;NITROGEN,,,,,,,,,,,
#MFC_Protective_Gas;NITROGEN,,,,,,,,,,,
,,,,,,,,,,,
##Results,,,,,,,,,,,
#Time/min;#Shot_number;#Temperature/°C;#Model;#Diffusivity/(mm^2/s);#Uncertainty/%;#Cp-Calc/(J/(g*K));#Laser_voltage/V;#Pulse_width/ms;#Half_time;#T_Infin;#Ampl_gain;#Pulse_integr,,,,,,,,,,,
0,0;1;25,025;Standard(l);0,15300;0,1;0,32499;250,0;0,60;2364,8;6,997;20025625,0;3,262
3,9;2;25,025;Standard(l);0,15089;0,2;0,31902;250,0;0,60;2365,2;7,128;20025625,0;3,271
7,7;3;25,026;Standard(l);0,15076;0,2;0,31296;250,0;0,60;2366,4;7,267;20025625,0;3,26
#Mean;;25,025;;0,15155;;0,31899;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00126;;0,00602;;;;;;,,,,,,,,
36,2;4;40,009;Standard(l);0,15040;0,1;0,31572;250,0;0,60;2367,0;11,05;20025625,0;3,335
40,1;5;40,002;Standard(l);0,14980;0,2;0,33030;250,0;0,60;2373,0;7,74;14682069,1;3,284
44,0;6;40,007;Standard(l);0,14988;0,2;0,33029;250,0;0,60;2374,5;7,741;14682069,1;3,259
#Mean;;40,006;;0,15002;;0,32544;;;;;;,,,,,,,,
#Std_Dev;;0,004;;0,00033;;0,00842;;;;;;,,,,,,,,
70,5;7;59,994;Standard(l);0,14940;0,1;0,34608;250,0;0,60;2383,7;11,97;14682069,1;3,305
74,4;8;60,000;Standard(l);0,14876;0,2;0,34231;250,0;0,60;2382,5;8,232;9988562,6;3,309
78,2;9;59,999;Standard(l);0,14849;0,2;0,33727;250,0;0,60;2384,3;8,355;9988562,6;3,313
#Mean;;59,998;;0,14888;;0,34189;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00046;;0,00442;;;;;;,,,,,,,,
104,7;10;79,994;Standard(l);0,14835;0,1;0,35691;250,0;0,60;2391,9;12,13;9988562,6;3,303
108,5;11;79,999;Standard(l);0,14757;0,2;0,35457;250,0;0,60;2391,7;8,274;6765688,5;3,308
112,4;12;80,002;Standard(l);0,14748;0,2;0,35694;250,0;0,60;2394,1;8,219;6765688,5;3,319
#Mean;;79,998;;0,14780;;0,35614;;;;;;,,,,,,,,
#Std_Dev;;0,004;;0,00048;;0,00136;;;;;;,,,,,,,,
138,2;13;99,991;Standard(l);0,14726;0,1;0,36978;250,0;0,60;2402,6;11,65;6765688,5;3,319
142,1;14;100,002;Standard(l);0,14631;0,2;0,36919;250,0;0,60;2403,4;8,21;4759215,1;3,329
145,9;15;99,999;Standard(l);0,14628;0,2;0,37022;250,0;0,60;2403,7;8,186;4759215,1;3,354
#Mean;;99,997;;0,14662;;0,36973;;;;;;,,,,,,,,
#Std_Dev;;0,006;;0,00056;;0,00051;;;;;;,,,,,,,,
171,8;16;119,992;Standard(l);0,14575;0,1;0,38112;250,0;0,60;2417,6;11,24;4759215,1;3,373
175,6;17;120,001;Standard(l);0,14489;0,2;0,38145;250,0;0,60;2416,3;8,286;3511524,7;3,33
179,5;18;120,000;Standard(l);0,14492;0,2;0,37989;250,0;0,60;2416,4;8,32;3511524,7;3,327
#Mean;;119,998;;0,14519;;0,38082;;;;;;,,,,,,,,
#Std_Dev;;0,005;;0,00049;;0,00082;;;;;;,,,,,,,,
205,2;19;139,992;Standard(l);0,14410;0,1;0,38936;250,0;0,60;2436,3;10,92;3511524,7;3,303
209,1;20;140,001;Standard(l);0,14308;0,2;0,36557;250,0;0,60;2433,2;9,022;2723015,7;3,371
212,9;21;140,000;Standard(l);0,14317;0,2;0,38778;250,0;0,60;2432,9;8,505;2723015,7;3,322
#Mean;;139,998;;0,14345;;0,38091;;;;;;,,,,,,,,
#Std_Dev;;0,005;;0,00057;;0,01330;;;;;;,,,,,,,,
239,2;22;159,995;Standard(l);0,14174;0,2;0,40172;250,0;0,60;2462,8;10,77;2723015,7;3,331
243,0;23;160,001;Standard(l);0,14077;0,2;0,37459;250,0;0,60;2459,6;9,321;2197343,0;3,37
246,8;24;160,000;Standard(l);0,14082;0,2;0,39929;250,0;0,60;2464,0;8,744;2197343,0;3,376
#Mean;;159,999;;0,14111;;0,39187;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00054;;0,01501;;;;;;,,,,,,,,
273,2;25;179,995;Standard(l);0,13540;0,2;0,45598;250,0;0,60;2574,8;9,885;2197343,0;3,38
277,1;26;180,001;Standard(l);0,13389;0,2;0,43443;250,0;0,60;2584,5;8,869;1878184,7;3,351
280,9;27;179,999;Standard(l);0,13338;0,2;0,43133;250,0;0,60;2585,4;8,933;1878184,7;3,347
#Mean;;179,998;;0,13422;;0,44058;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00105;;0,01343;;;;;;,,,,,,,,
308,2;28;199,996;Standard(l);0,15147;0,1;0,42461;250,0;0,60;2299,0;11,32;1878184,7;3,309
312,1;29;200,000;Standard(l);0,15062;0,2;0,41208;250,0;0,60;2298,8;8,979;1446382,0;3,351
315,9;30;200,001;Standard(l);0,15055;0,2;0,41431;250,0;0,60;2296,0;8,931;1446382,0;3,342
#Mean;;199,999;;0,15088;;0,41700;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00051;;0,00668;;;;;;,,,,,,,,
344,8;31;219,996;Standard(l);0,14861;0,2;0,45041;250,0;0,60;2341,2;10,31;1446382,0;3,354
348,6;32;220,001;Standard(l);0,14722;0,2;0,43267;250,0;0,60;2338,8;8,828;1189803,8;3,312
352,5;33;219,999;Standard(l);0,14734;0,2;0,44030;250,0;0,60;2340,3;8,675;1189803,8;3,337
#Mean;;219,999;;0,14772;;0,44113;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00077;;0,00890;;;;;;,,,,,,,,
379,1;34;239,997;Standard(l);0,14061;0,2;0,49553;250,0;0,60;2463,6;9,286;1189803,8;3,35
383,0;35;240,001;Standard(l);0,13979;0,2;0,48254;250,0;0,60;2458,8;9,536;1189803,8;3,349
386,9;36;240,000;Standard(l);0,13988;0,2;0,48255;250,0;0,60;2461,1;9,536;1189803,8;3,378
#Mean;;239,999;;0,14009;;0,48687;;;;;;,,,,,,,,
#Std_Dev;;0,002;;0,00045;;0,00750;;;;;;,,,,,,,,
413,5;37;259,997;Standard(l);0,08983;0,9;1,01812;250,0;0,60;4097,8;5,289;1183467,5;3,363
418,2;38;260,000;Standard(l);0,08462;0,9;0,90870;250,0;0,60;4096,1;8,464;1690366,1;3,358
422,9;39;260,000;Standard(l);0,08575;0,9;0,92160;250,0;0,60;4055,7;8,346;1690366,1;3,365
#Mean;;259,999;;0,08673;;0,94947;;;;;;,,,,,,,,
#Std_Dev;;0,002;;0,00274;;0,05980;;;;;;,,,,,,,,
