##Thermal_diffusivity,,,,,,,,,,
,,,,,,,,,,
##General_information,,,,,,,,,,
#Database;ag_composites.mdb,,,,,,,,,,
#Instrument;#LFA_467 (LFA46700B-0808-L),,,,,,,,,,
#Identity;Ag_composite_low_temperature,,,,,,,,,,
#Date;2024-03-11,,,,,,,,,,
#Material;Ag8SiS6 - A2,,,,,,,,,,
#Ref_temperature /°C;20,0,,,,,,,,,
#Ref_density /(g/cm^3);5,640,,,,,,,,,
#Sample;Ag8SiS6,,,,,,,,,,
#Type;#Single_layer,,,,,,,,,,
#Sample position;A2,,,,,,,,,,
#Spotsize;3,7,,,,,,,,,
#Filter;0,,,,,,,,,,
#Thickness_RT/mm;1,7200,,,,,,,,,
#Diameter/mm;9,800,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#Remark_mment;---,,,,,,,,,,
#Cp_table;Cp_const,,,,,,,,,,
#Expansion_table;dL_const,,,,,,,,,,
#CalcCode;Standard + p.c./l/0-0-0,,,,,,,,,,
#MFC_Purge1_Gas;ARGON,,,,,,,,,,
#MFC_Purge2_Gas;NITROGEN,,,,,,,,,,
#MFC_Protective_Gas;NITROGEN,,,,,,,,,,
,,,,,,,,,,
##Results,,,,,,,,,,
#Time/min;#Shot_number;#Temperature/°C;#Model;#Diffusivity/(mm^2/s);#Uncertainty/%;#Laser_voltage/V;#Pulse_width/ms;#Half_time;#T_Infin;#Ampl_gain;#Pulse_integr,,,,,,,,,,
0,0;1;-100,008;Standard(l);0,17874;1,0;250,0;0,60;2263,7;7,807;37175695,8;3,231
3,8;2;-100,012;Standard(l);0,15467;1,1;250,0;0,60;2361,7;6,664;29440798,3;3,22
7,7;3;-100,014;Standard(l);0,16957;0,8;250,0;0,60;2105,7;6,847;29440798,3;3,229
#Mean;;-100,011;;0,16766;;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,01215;;;;;;;,,,,,,,,
36,1;4;-80,007;Standard(l);0,15711;0,8;250,0;0,60;2225,4;11,61;29440798,3;3,265
40,0;5;-79,991;Standard(l);0,16306;0,7;250,0;0,60;2210,2;8,444;20783625,5;3,252
43,9;6;-80,004;Standard(l);0,15860;0,8;250,0;0,60;2184,0;8,547;20783625,5;3,247
#Mean;;-80,001;;0,15959;;;;;;;,,,,,,,,
#Std_Dev;;0,009;;0,00310;;;;;;;,,,,,,,,
71,4;7;-60,006;Standard(l);0,17044;0,4;250,0;0,60;2185,2;12,22;20783625,5;3,237
75,3;8;-59,995;Standard(l);0,16272;0,4;250,0;0,60;2285,7;7,618;12616926,3;3,251
79,3;9;-60,005;Standard(l);0,16007;0,4;250,0;0,60;2171,9;8,255;12616926,3;3,255
#Mean;;-60,002;;0,16441;;;;;;;,,,,,,,,
#Std_Dev;;0,006;;0,00539;;;;;;;,,,,,,,,
107,3;10;-40,000;Standard(l);0,16291;0,3;250,0;0,60;2250,8;10,62;12616926,3;3,261
111,1;11;-40,013;Standard(l);0,16043;0,3;250,0;0,60;2271,0;7,647;8955991,2;3,271
114,9;12;-40,001;Standard(l);0,16465;0,3;250,0;0,60;2276,3;7,462;8955991,2;3,263
#Mean;;-40,005;;0,16266;;;;;;;,,,,,,,,
#Std_Dev;;0,007;;0,00212;;;;;;;,,,,,,,,
140,3;13;-20,005;Standard(l);0,15759;0,2;250,0;0,60;2309,2;10,38;8955991,2;3,236
144,1;14;-20,001;Standard(l);0,15805;0,3;250,0;0,60;2315,0;7,546;6620972,3;3,285
147,8;15;-20,003;Standard(l);0,15845;0,3;250,0;0,60;2287,1;7,965;6620972,3;3,272
#Mean;;-20,003;;0,15803;;;;;;;,,,,,,,,
#Std_Dev;;0,002;;0,00043;;;;;;;,,,,,,,,
173,8;16;-0,005;Standard(l);0,15738;0,2;250,0;0,60;2293,4;9,44;6620972,3;3,281
177,6;17;0,000;Standard(l);0,15874;0,2;250,0;0,60;2281,0;7,846;5519563,0;3,296
181,3;18;0,000;Standard(l);0,15580;0,2;250,0;0,60;2324,3;8,42;5519563,0;3,28
#Mean;;-0,002;;0,15731;;;;;;;,,,,,,,,
#Std_Dev;;0,003;;0,00147;;;;;;;,,,,,,,,
207,9;19;25,007;Standard(l);0,15231;0,2;250,0;0,60;2346,5;10,26;5519563,0;3,279
211,6;20;25,010;Standard(l);0,15339;0,2;250,0;0,60;2341,4;7,972;4283606,3;3,282
215,4;21;25,006;Standard(l);0,15433;0,2;250,0;0,60;2320,9;8,298;4283606,3;3,277
#Mean;;25,008;;0,15334;;;;;;;,,,,,,,,
#Std_Dev;;0,002;;0,00101;;;;;;;,,,,,,,,
