##Thermal_diffusivity,,,,,,,,,,,
,,,,,,,,,,,
##General_information,,,,,,,,,,,
#Database;ag_composites.mdb,,,,,,,,,,,
#Instrument;#LFA_467 (LFA46700B-0808-L),,,,,,,,,,,
#Identity;Ag_composite_high_temperature_upto2,,,,,,,,,,,
#Date;2024-03-13,,,,,,,,,,,
#Material;Ag8SnS6 - A4,,,,,,,,,,,
#Ref_temperature /°C;20,0,,,,,,,,,,
#Ref_density /(g/cm^3);5,800,,,,,,,,,,
#Sample;Ag8SnS6,,,,,,,,,,,
#Type;#Single_layer,,,,,,,,,,,
#Sample position;A4,,,,,,,,,,,
#Spotsize;3,7,,,,,,,,,,
#Filter;0,,,,,,,,,,,
#Thickness_RT/mm;1,5480,,,,,,,,,,
#Diameter/mm;9,800,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#Remark_mment;---,,,,,,,,,,,
#Cp_table;Ag8SnS6 - A4,,,,,,,,,,,
#Expansion_table;dL_const,,,,,,,,,,,
#CalcCode;Standard + p.c./l/1-0-0/1-0,,,,,,,,,,,
#MFC_Purge1_Gas;ARGON,,,,,,,,,,,
#MFC_Purge2_Gas;NITROGEN,,,,,,,,,,,
#MFC_Protective_Gas;NITROGEN,,,,,,,,,,,
,,,,,,,,,,,
##Results,,,,,,,,,,,
#Time/min;#Shot_number;#Temperature/°C;#Model;#Diffusivity/(mm^2/s);#Uncertainty/%;#Cp-Calc/(J/(g*K));#Laser_voltage/V;#Pulse_width/ms;#Half_time;#T_Infin;#Ampl_gain;#Pulse_integr,,,,,,,,,,,
0,0;1;25,024;Standard(l);0,15768;0,3;0,33328;250,0;0,60;1902,7;7,372;20025625,0;3,289
3,6;2;25,025;Standard(l);0,15585;0,3;0,30709;250,0;0,60;1901,1;8,001;20025625,0;3,355
7,2;3;25,026;Standard(l);0,15548;0,3;0,32082;250,0;0,60;1900,2;7,659;20025625,0;3,25
#Mean;;25,025;;0,15634;;0,32040;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00118;;0,01310;;;;;;,,,,,,,,
34,1;4;40,009;Standard(l);0,15453;0,3;0,33866;250,0;0,60;1911,4;11,13;20025625,0;3,285
37,7;5;40,009;Standard(l);0,15428;0,3;0,33972;250,0;0,60;1910,9;7,664;13837237,5;3,281
41,3;6;40,009;Standard(l);0,15439;0,3;0,33850;250,0;0,60;1910,6;7,692;13837237,5;3,29
#Mean;;40,009;;0,15440;;0,33896;;;;;;,,,,,,,,
#Std_Dev;;0,000;;0,00013;;0,00066;;;;;;,,,,,,,,
68,3;7;60,000;Standard(l);0,15286;0,3;0,35293;250,0;0,60;1924,8;11,95;13837237,5;3,282
72,0;8;60,001;Standard(l);0,15256;0,3;0,34911;250,0;0,60;1924,3;7,82;8955991,2;3,284
75,6;9;59,999;Standard(l);0,15258;0,3;0,34721;250,0;0,60;1924,5;7,862;8955991,2;3,296
#Mean;;60,000;;0,15267;;0,34975;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00017;;0,00291;;;;;;,,,,,,,,
102,5;10;80,000;Standard(l);0,15116;0,3;0,36327;250,0;0,60;1941,0;11,55;8955991,2;3,336
106,2;11;80,000;Standard(l);0,15090;0,3;0,35656;250,0;0,60;1940,0;7,96;6057751,5;3,337
109,8;12;79,999;Standard(l);0,15084;0,3;0,36113;250,0;0,60;1939,3;7,859;6057751,5;3,305
#Mean;;80,000;;0,15097;;0,36032;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00017;;0,00343;;;;;;,,,,,,,,
136,0;13;100,000;Standard(l);0,14917;0,4;0,36690;250,0;0,60;1958,3;11,36;6057751,5;3,314
139,7;14;99,999;Standard(l);0,14895;0,4;0,37645;250,0;0,60;1958,3;7,619;4168615,4;3,318
143,3;15;100,000;Standard(l);0,14882;0,4;0,37404;250,0;0,60;1959,1;7,668;4168615,4;3,279
#Mean;;100,000;;0,14898;;0,37246;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00018;;0,00497;;;;;;,,,,,,,,
169,6;16;119,999;Standard(l);0,14673;0,4;0,39183;250,0;0,60;1985,4;10,35;4168615,4;3,308
173,2;17;120,001;Standard(l);0,14636;0,4;0,38624;250,0;0,60;1985,2;8,068;3204100,0;3,296
176,8;18;120,000;Standard(l);0,14641;0,4;0,38801;250,0;0,60;1986,9;8,031;3204100,0;3,323
#Mean;;120,000;;0,14650;;0,38869;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00020;;0,00286;;;;;;,,,,,,,,
203,1;19;139,999;Standard(l);0,14324;0,4;0,40468;250,0;0,60;2029,2;10,36;3204100,0;3,308
206,8;20;140,000;Standard(l);0,14286;0,4;0,40525;250,0;0,60;2029,0;7,922;2453139,0;3,304
210,3;21;140,000;Standard(l);0,14281;0,5;0,40648;250,0;0,60;2035,1;7,898;2453139,0;3,3
#Mean;;140,000;;0,14297;;0,40547;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00024;;0,00092;;;;;;,,,,,,,,
237,0;22;159,999;Standard(l);0,14012;0,5;0,44510;250,0;0,60;2102,6;9,462;2453139,0;3,318
240,6;23;160,000;Standard(l);0,13605;0,5;0,42335;250,0;0,60;2128,3;8,251;2034634,9;3,328
244,4;24;159,999;Standard(l);0,13575;0,5;0,43054;250,0;0,60;2124,4;8,113;2034634,9;3,305
#Mean;;159,999;;0,13731;;0,43300;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00244;;0,01108;;;;;;,,,,,,,,
271,2;25;179,998;Standard(l);0,10795;0,7;0,74511;250,0;0,60;2733,8;6,052;2034634,9;3,365
275,3;26;180,000;Standard(l);0,10717;0,6;0,73450;250,0;0,60;2742,8;7,941;2631492,3;3,318
279,4;27;180,000;Standard(l);0,10721;0,7;0,74085;250,0;0,60;2715,9;7,873;2631492,3;3,347
#Mean;;179,999;;0,10744;;0,74015;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00044;;0,00534;;;;;;,,,,,,,,
308,5;28;200,000;Standard(l);0,13386;0,3;0,43552;250,0;0,60;2126,8;8,345;1314963,8;3,325
312,4;29;200,000;Standard(l);0,13322;0,3;0,43262;250,0;0,60;2133,3;8,401;1314963,8;3,32
316,1;30;200,001;Standard(l);0,13336;0,3;0,42939;250,0;0,60;2128,8;8,465;1314963,8;3,296
#Mean;;200,000;;0,13348;;0,43251;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00034;;0,00307;;;;;;,,,,,,,,
342,8;31;219,999;Standard(l);0,13935;0,3;0,41608;250,0;0,60;2027,6;10,96;1314963,8;3,306
346,6;32;220,001;Standard(l);0,13916;0,3;0,42390;250,0;0,60;2028,7;8,295;1013797,3;3,337
350,3;33;220,001;Standard(l);0,13919;0,3;0,41958;250,0;0,60;2027,4;8,381;1013797,3;3,309
#Mean;;220,000;;0,13924;;0,41985;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00010;;0,00391;;;;;;,,,,,,,,
377,2;34;240,001;Standard(l);0,14003;0,2;0,42811;250,0;0,60;2008,4;9,895;1013797,3;3,336
380,9;35;240,000;Standard(l);0,13977;0,2;0,42892;250,0;0,60;2010,7;9,876;1013797,3;3,336
384,7;36;239,999;Standard(l);0,13977;0,2;0,43066;250,0;0,60;2006,8;9,836;1013797,3;3,305
#Mean;;240,000;;0,13986;;0,42923;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00015;;0,00130;;;;;;,,,,,,,,
413,3;37;260,000;Standard(l);0,14032;0,2;0,42081;250,0;0,60;1991,3;11,88;1016613,3;3,316
417,1;38;260,001;Standard(l);0,14040;0,2;0,41825;250,0;0,60;1991,7;8,831;751273,9;3,354
420,8;39;259,999;Standard(l);0,13805;0,3;0,40555;250,0;0,60;1993,1;9,107;751273,9;3,31
#Mean;;260,000;;0,13959;;0,41487;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00133;;0,00818;;;;;;,,,,,,,,
