##Thermal_diffusivity,,,,,,,,,,
,,,,,,,,,,
##General_information,,,,,,,,,,
#Database;ag_composites.mdb,,,,,,,,,,
#Instrument;#LFA_467 (LFA46700B-0808-L),,,,,,,,,,
#Identity;Ag_composite_low_temperature,,,,,,,,,,
#Date;2024-03-11,,,,,,,,,,
#Material;Ag8SnS6 - A4,,,,,,,,,,
#Ref_temperature /°C;20,0,,,,,,,,,
#Ref_density /(g/cm^3);5,800,,,,,,,,,
#Sample;Ag8SnS6,,,,,,,,,,
#Type;#Single_layer,,,,,,,,,,
#Sample position;A4,,,,,,,,,,
#Spotsize;3,7,,,,,,,,,
#Filter;0,,,,,,,,,,
#Thickness_RT/mm;1,5480,,,,,,,,,
#Diameter/mm;9,800,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
#Remark_mment;---,,,,,,,,,,
#Cp_table;Cp_const,,,,,,,,,,
#Expansion_table;dL_const,,,,,,,,,,
#CalcCode;Standard + p.c./l/0-0-0,,,,,,,,,,
#MFC_Purge1_Gas;ARGON,,,,,,,,,,
#MFC_Purge2_Gas;NITROGEN,,,,,,,,,,
#MFC_Protective_Gas;NITROGEN,,,,,,,,,,
,,,,,,,,,,
##Results,,,,,,,,,,
#Time/min;#Shot_number;#Temperature/°C;#Model;#Diffusivity/(mm^2/s);#Uncertainty/%;#Laser_voltage/V;#Pulse_width/ms;#Half_time;#T_Infin;#Ampl_gain;#Pulse_integr,,,,,,,,,,
0,0;1;-100,001;Standard(l);0,17544;1,3;250,0;0,60;1711,0;7,973;34497268,1;3,215
3,6;2;-100,002;Standard(l);0,15948;1,1;250,0;0,60;1890,9;6,318;29745092,8;3,208
7,5;3;-100,003;Standard(l);0,17845;0,8;250,0;0,60;1678,3;7,098;29745092,8;3,23
#Mean;;-100,002;;0,17112;;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,01020;;;;;;;,,,,,,,,
35,9;4;-79,991;Standard(l);0,16190;0,7;250,0;0,60;1737,6;13,05;29745092,8;3,204
39,5;5;-80,008;Standard(l);0,18421;0,5;250,0;0,60;1686,4;7,063;18793579,1;3,233
43,0;6;-79,996;Standard(l);0,15945;0,6;250,0;0,60;1733,5;8,126;18793579,1;3,243
#Mean;;-79,998;;0,16852;;;;;;;,,,,,,,,
#Std_Dev;;0,009;;0,01364;;;;;;;,,,,,,,,
71,8;7;-60,000;Standard(l);0,17103;0,5;250,0;0,60;1784,9;6,136;9465236,8;3,261
75,4;8;-60,000;Standard(l);0,16996;0,4;250,0;0,60;1784,2;6,251;9465236,8;3,227
79,0;9;-59,998;Standard(l);0,16867;0,3;250,0;0,60;1741,9;6,338;9465236,8;3,235
#Mean;;-59,999;;0,16989;;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00118;;;;;;;,,,,,,,,
105,6;10;-39,999;Standard(l);0,16220;0,3;250,0;0,60;1804,4;11,99;11643023,7;3,257
109,1;11;-39,995;Standard(l);0,16631;0,4;250,0;0,60;1824,4;7,374;7666842,0;3,243
112,6;12;-39,990;Standard(l);0,16467;0,4;250,0;0,60;1777,3;8,116;7666842,0;3,252
#Mean;;-39,995;;0,16439;;;;;;;,,,,,,,,
#Std_Dev;;0,005;;0,00206;;;;;;;,,,,,,,,
138,6;13;-19,995;Standard(l);0,16328;0,2;250,0;0,60;1831,5;9,579;7666842,0;3,229
142,2;14;-20,003;Standard(l);0,16258;0,3;250,0;0,60;1815,6;7,514;5920857,5;3,275
145,7;15;-20,003;Standard(l);0,16548;0,3;250,0;0,60;1811,7;7,296;5920857,5;3,235
#Mean;;-20,000;;0,16378;;;;;;;,,,,,,,,
#Std_Dev;;0,005;;0,00151;;;;;;;,,,,,,,,
172,1;16;0,000;Standard(l);0,16469;0,2;250,0;0,60;1830,5;9,301;5920857,5;3,236
175,7;17;0,000;Standard(l);0,16168;0,2;250,0;0,60;1835,2;7,19;4637966,0;3,216
179,3;18;-0,001;Standard(l);0,16157;0,2;250,0;0,60;1826,6;7,356;4637966,0;3,246
#Mean;;-0,000;;0,16265;;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00177;;;;;;;,,,,,,,,
205,9;19;25,001;Standard(l);0,15917;0,3;250,0;0,60;1862,0;9,644;4637966,0;3,263
209,4;20;25,002;Standard(l);0,15878;0,3;250,0;0,60;1871,0;7,209;3724296,9;3,262
213,1;21;25,002;Standard(l);0,15863;0,3;250,0;0,60;1877,5;7,334;3724296,9;3,274
#Mean;;25,002;;0,15886;;;;;;;,,,,,,,,
#Std_Dev;;0,001;;0,00028;;;;;;;,,,,,,,,
