[Header]
; Thermal Transport Data File (default extension .dat)
; Copyright 2000, Quantum Design, Inc. All rights reserved.
TITLE,D387_Ag8GeS6_TTO
FILEOPENTIME,3945699260.4714,01/10/2025,6:39 pm
BYAPP,THERMAL_TRANSPORT,1.0,1.1,1.2
INFO,PPMS Thermal Transport Option Version: Release 2.0.0,APPNAME
INFO,Ag8GeS6,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.9898,SAMPLE_VLEAD_SEPARATION
INFO,1.9898,SAMPLE_ILEAD_SEPARATION
INFO,18.814,SAMPLE_CROSS_SECTION
INFO,30.59,SAMPLE_SURFACE_AREA
INFO,1.0,SAMPLE_EMISSIVITY
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,ThermalCond, 2,4,5,6,7,8,19,20,22,28
FIELDGROUP,SeebeckCoef, 2,4,5,6,9,10,19,20,22,28
FIELDGROUP,Resistivity, 2,4,5,6,11,12,19,20,22,28
FIELDGROUP,Merit-ZT,    2,4,5,6,7,8,9,10,11,12,13,14,19,20,22,28
STARTUPGROUP,All
STARTUPAXIS,X,6
STARTUPAXIS,Y1,7
STARTUPAXIS,Y2,9
STARTUPAXIS,Y3,11
[Data]
Comment,Time Stamp (sec),Status (code),Error (code),Magnetic Field (Oe),Sample Temp. (K),Conductivity (W/K-m),Cond. Error,Seebeck Coef. (µV/K),Seebeck Error,Resistivity (Ohm-m),Resist Error,Figure of Merit ZT,Merit Error,Delta Temp. (K),Conductance (W/K),Raw Conductance (W/K),Seebeck Volt. (µV),Resistance (Ohm),Min. Temp. (K),Max. Temp. (K),Temp. Rise (K),Req. Htr Power (W),Heater Power (W),Rad. Loss (W),Cond. Pwr. (W),Heater Current (mA),Res. Drive (mA),Res. Freq (Hz),Period (sec),Period Ratio,tau1 (sec),tau2 (sec),Seebeck Gain,Resist. Gain,System Temp (K),Chamber Pressure (Torr),Temperature Status,Field Status,Chamber Status,Hot Baseline Avg (K),Cold Baseline Avg (K),QMap 1,QMap 2,QMap 3,QMap 4,QMap 5,QMap 6,QMap 7,QMap 8,QMap 9,QMap 10,QMap 11,QMap 12,QMap 13,QMap 14,QMap 15,QMap 16
,3945722090.52259,1810,18432,0,2.62046471318426,0.081274752023701,0.000184862877804955,,,0,0,,,0.0130089123288075,0.000768470793332954,0.000768725764432555,,0,2.48459000570317,2.70222019845478,0.0560933346130645,1E-5,1.00002860743986E-5,6.21635759348301E-12,1.0000279858041E-5,0.0703222579956055,7.9999970703125,,29.696,31.8346352897886,0.932820487173145,0.0019,998.9870568,0.99973338842392,2.4942831993103,9.89999989542412E-6,2,1,7,2.62401407120186,2.6109658223828,,,,,,,,,,,,,,,,
,3945722149.70896,1810,18432,0,3.04711974343847,0.102589288904984,0.000188657041082958,,,0,0,,,0.0123754214226591,0.000970004463492999,0.000970311670511781,,0,2.90758423752562,3.13844839912258,0.0542171345029838,1.20077662139482E-5,1.20080158339076E-5,9.49105132108875E-12,1.20080063428563E-5,0.0770778274536133,7.9999970703125,,29.696,33.4472757601797,0.887845103228236,0.0019,998.9870568,0.99973338842392,2.9902070760727,9.89999989542412E-6,2,1,7,3.05387496292519,3.04310188262153,,,,,,,,,,,,,,,,
,3945722208.49798,1810,18432,0,3.49744835335752,0.125755710828631,0.000225292702325493,,,0,0,,,0.0135592364198799,0.00118904811716246,0.0011893955732368,,0,3.3540845930885,3.59169938317793,0.057344970147243,1.61271532461323E-5,1.61272957742765E-5,1.50790031011716E-11,1.61272806952734E-5,0.0893444442749023,7.9999970703125,,29.696,34.9723552234751,0.849127827114904,0.0019,998.9870568,0.99973338842392,3.47911846637726,9.89999989542412E-6,2,1,7,3.50285483604141,3.49504446621268,,,,,,,,,,,,,,,,
,3945722267.71661,1810,18432,0,3.96702147560259,0.149962046971368,0.000258942410930233,,,0,0,,,0.016087413000367,0.00141792439024994,0.0014183043267405,,0,3.81909988156105,4.06064551957577,0.0642118724518501,2.28176142520238E-5,2.28168474644818E-5,2.43750388740156E-11,2.28168230894429E-5,0.106290771484375,7.9999970703125,,29.696,35.05383183021,0.847154175436177,0.0019,998.9870568,0.99973338842392,3.97115480899811,9.89999989542412E-6,2,1,7,3.96948317807264,3.96316059009768,,,,,,,,,,,,,,,,
,3945722326.42598,1810,18432,0,4.44179512300605,0.173557121952867,0.000303744098203138,,,0,0,,,0.019834089762435,0.0016410210535839,0.00164143186530256,,0,4.28883833077079,4.53275131050799,0.0748385334634412,3.25528602143778E-5,3.2556306955332E-5,3.9414738367264E-11,3.25562675405937E-5,0.126986274719238,7.9999970703125,,29.696,34.1192966489846,0.87035791814553,0.0019,998.9870568,0.99973338842392,4.46067523956299,9.89999989542412E-6,2,1,7,4.43955047872305,4.43422743797074,,,,,,,,,,,,,,,,
,3945722385.11724,1810,18432,0,4.92221195714765,0.196268430724333,0.000346975181187263,,,0,0,,,0.0243859525578825,0.00185576151153262,0.00185619447378525,,0,4.76415779015288,5.00913462984196,0.0856603439772972,4.52622420410643E-5,4.52650703759309E-5,6.04997209862347E-11,4.52650098762099E-5,0.149756332397461,7.9999970703125,,29.696,32.6845117691323,0.90856489488839,0.0019,998.9870568,0.99973338842392,4.94772505760193,9.89999989542412E-6,2,1,7,4.91437804940341,4.9097709322465,,,,,,,,,,,,,,,,
,3945722443.74968,1810,18432,0,5.40535439145264,0.217872420327327,0.000415687475974176,,,0,0,,,0.0299221818365099,0.00206003202132794,0.0020604780429333,,0,5.24149747973143,5.48790834213244,0.0965238103901545,6.16478356701677E-5,6.16539986707861E-5,8.87354948190865E-11,6.16539099352912E-5,0.174800903320313,7.9999970703125,,29.696,31.5440899138254,0.941412482690922,0.0019,998.9870568,0.99973338842392,5.43574428558349,9.89999989542412E-6,2,1,7,5.39242541545608,5.38845155267098,,,,,,,,,,,,,,,,
,3945722502.43841,1810,18432,0,5.89319173864394,0.237685230097761,0.000459645350569028,,,0,0,,,0.0367531361459688,0.00224736652882665,0.00224783623226542,,0,5.7229103527371,5.97027059343815,0.112102565275464,8.26165595152108E-5,8.26150310782926E-5,1.31950202204857E-10,8.26148991280904E-5,0.202369918823242,7.9999970703125,,29.696,29.9085378526281,0.992893739785094,0.0019,998.9870568,0.99973338842392,5.9257664680481,9.89999989542412E-6,2,1,7,5.87623135870438,5.87181073472648,,,,,,,,,,,,,,,,
,3945722562.11103,1810,18432,0,6.38849593123539,0.256367494060463,0.000510037943788871,,,0,0,,,0.0439050267869563,0.00242401147515004,0.00242450253435979,,0,6.21313686727274,6.46281119330763,0.126411446522538,0.000106453154817167,0.00010644784871611,1.86889752792439E-10,0.000106447661826357,0.229738998413086,7.9999970703125,,29.696,28.5473101882041,1.04023811014849,0.0019,998.9870568,0.99973338842392,6.42328310012818,9.89999989542412E-6,2,1,7,6.36495692369908,6.36178215582499,,,,,,,,,,,,,,,,
,3945722621.5978,1810,18432,0,6.8828998650399,0.273633728886009,0.000558221688986598,,,0,0,,,0.0517489308598003,0.00258726755214664,0.00258778466736686,,0,6.7016498394577,6.96671995924163,0.142571698289356,0.000133917761876604,0.000133915089831619,2.60780081627286E-10,0.000133914829051538,0.257707946777344,7.9999970703125,,29.696,27.2717907046787,1.08889072674298,0.0019,998.9870568,0.99973338842392,6.92009282112121,9.89999989542412E-6,2,1,7,6.85467212305334,6.85185840849416,,,,,,,,,,,,,,,,
