,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
20,0.4246212,0.23964232,0.29911209,0.04713689,0.03392199,0.03198924,0.47175809,0.27356431,0.33110134,0.32112520333333333,0.03768270666666667,0.35880791333333334
40,0.19877944,0.11601188,0.14487707,0.11136449,0.09757386,0.09598036,0.31014392,0.21358574,0.24085743,0.15322279666666666,0.10163957,0.25486236333333334
60,0.13504494,0.07980988,0.09955168,0.15839796,0.14447744,0.14409262,0.2934429,0.22428732,0.2436443,0.10480216666666668,0.14898934,0.25379150666666667
80,0.10523517,0.06257728,0.07799759,0.19117991,0.17654743,0.17741588,0.29641508,0.23912471,0.25541347,0.08193668,0.1817144066666667,0.26365108666666665
100,0.08726069,0.05207064,0.06487454,0.21397485,0.19855365,0.20051941,0.30123554,0.25062429,0.26539395,0.06806862333333334,0.20434930333333332,0.2724179266666667
120,0.07476549,0.04471145,0.05569247,0.22991303,0.21381366,0.21671532,0.30467852,0.25852511,0.27240779,0.05838980333333333,0.22014733666666664,0.27853714
140,0.06538643,0.03915882,0.04876923,0.24095105,0.22433021,0.22802653,0.30633749,0.26348903,0.27679576,0.05110482666666666,0.23110259666666666,0.2822074266666667
160,0.05802947,0.03478755,0.04332135,0.24836271,0.23137449,0.2357438,0.30639218,0.26616204,0.27906515,0.04537945666666667,0.2384936666666667,0.2838731233333333
180,0.05209285,0.03125111,0.03891516,0.25303831,0.23581727,0.2407553,0.30513116,0.26706839,0.27967047,0.04075304,0.24320362666666664,0.28395667333333335
200,0.04720368,0.02833317,0.03528025,0.25563237,0.238289,0.24370706,0.30283605,0.26662217,0.27898731,0.036939033333333336,0.24587614333333332,0.28281517666666667
220,0.04311239,0.02588796,0.03223462,0.25663955,0.23926103,0.24508423,0.29975194,0.26514899,0.27731885,0.03374499,0.2469949366666667,0.28073992666666664
240,0.0396433,0.02381238,0.02964962,0.25643872,0.23909182,0.24525734,0.29608202,0.2629042,0.27490695,0.0310351,0.24692929333333336,0.27796439
260,0.03666845,0.02203101,0.02743116,0.25532173,0.23805634,0.24451175,0.29199018,0.26008735,0.27194292,0.028710206666666665,0.24596327333333334,0.27467348333333336
280,0.03409222,0.0204873,0.02550878,0.25351398,0.2363665,0.24306822,0.2876062,0.2568538,0.268577,0.0266961,0.24431623333333338,0.27101233333333336
300,0.03184173,0.01913805,0.02382862,0.25118974,0.23418607,0.24109791,0.28303147,0.25332412,0.26492653,0.024936133333333332,0.24215790666666667,0.26709404
320,0.02986052,0.01794971,0.02234888,0.24848384,0.2316418,0.23873377,0.27834435,0.24959151,0.26108264,0.02338637,0.23961980333333335,0.2630061666666667
340,0.02810418,0.01689586,0.02103663,0.24550062,0.22883194,0.23607915,0.2736048,0.24572781,0.25711578,0.02201222333333333,0.23680390333333334,0.25881613
360,0.02653739,0.01595546,0.01986567,0.24232089,0.22583274,0.23321447,0.26885828,0.2417882,0.25308014,0.020786173333333335,0.2337893666666667,0.25457554
380,0.0251317,0.01511154,0.01881485,0.23900721,0.22270337,0.23020232,0.26413891,0.23781491,0.24901718,0.01968603,0.23063763333333331,0.25032366666666667
400,0.023864,0.01435028,0.01786699,0.23560799,0.21948979,0.22709144,0.259472,0.23384007,0.24495843,0.01869375666666667,0.2273964066666667,0.2460901666666667
420,0.02271532,0.01366036,0.01700795,0.2321607,0.21622767,0.22391973,0.25487602,0.22988803,0.24092768,0.017794543333333333,0.2241027,0.24189724333333332
440,0.02166993,0.01303239,0.01622605,0.22869424,0.21294468,0.22071665,0.25036417,0.22597706,0.2369427,0.016976123333333332,0.22078519,0.23776131
460,0.02071475,0.01245851,0.01551151,0.22523088,0.20966221,0.21750506,0.24594563,0.22212072,0.23301657,0.016228256666666666,0.21746605,0.23369430666666666
480,0.01983877,0.01193215,0.01485614,0.22178769,0.20639678,0.21430261,0.24162646,0.21832893,0.22915875,0.015542353333333333,0.21416236,0.2297047133333333
500,0.01903267,0.01144773,0.01425299,0.21837769,0.20316106,0.21112291,0.23741035,0.21460878,0.2253759,0.01491113,0.21088722000000001,0.22579834333333335
520,0.01828853,0.0110005,0.01369614,0.2150107,0.19996467,0.20797634,0.23329922,0.21096517,0.22167248,0.014328390000000002,0.20765057,0.22197895666666667
540,0.01759956,0.01058639,0.01318054,0.21169406,0.19681491,0.20487078,0.22929362,0.20740129,0.21805132,0.01378883,0.20445991666666666,0.21824874333333333
560,0.01695992,0.0102019,0.01270182,0.20843314,0.19371714,0.20181209,0.22539307,0.20391904,0.21451392,0.01328788,0.20132079,0.2146086766666667
580,0.01636457,0.009844,0.01225621,0.2052318,0.19067528,0.1988046,0.22159637,0.20051928,0.21106081,0.012821593333333334,0.19823722666666665,0.21105881999999998
600,0.0158091,0.00951006,0.01184043,0.20209264,0.18769207,0.19585136,0.21790174,0.19720213,0.2076918,0.01238653,0.19521202333333332,0.20759855666666668
