,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
20,2.11616693,0.84257491,1.21535501,0.01886752,0.01364228,0.01264594,2.13503445,0.8562172,1.22800096,1.3913656166666666,0.015051913333333333,1.4064175366666667
40,0.73941298,0.30551599,0.43834572,0.08123239,0.05439555,0.05816795,0.82064537,0.35991154,0.49651368,0.49442489666666667,0.06459863,0.55902353
60,0.44680106,0.18624119,0.26649061,0.12907037,0.08918861,0.09891798,0.57587143,0.2754298,0.36540858,0.2998442866666667,0.10572565333333334,0.4055699366666667
80,0.32705094,0.13674855,0.19544547,0.16162664,0.11468605,0.12949196,0.48867758,0.2514346,0.32493743,0.21974832,0.13526821666666666,0.35501653666666666
100,0.2607925,0.10918973,0.15597332,0.18451151,0.13325677,0.1519937,0.44530401,0.2424465,0.30796702,0.17531851666666665,0.15658732666666667,0.33190584333333334
120,0.21760354,0.09116639,0.13019224,0.20133398,0.14722157,0.16892446,0.41893753,0.23838797,0.2991167,0.14632072333333335,0.17249333666666666,0.3188140666666667
140,0.18673935,0.07826271,0.11174845,0.21411043,0.15806135,0.18198288,0.40084978,0.23632406,0.29373133,0.12558350333333332,0.18471822000000002,0.31030172333333333
160,0.16342379,0.06850468,0.09780713,0.22398331,0.16665875,0.19222123,0.3874071,0.23516344,0.29002836,0.10991186666666668,0.19428776333333334,0.30419963333333333
180,0.14514931,0.06085162,0.08687615,0.23163954,0.17355096,0.20030009,0.37678886,0.23440258,0.28717624,0.09762569333333333,0.20183019666666668,0.29945589333333333
200,0.13043842,0.05468849,0.07807477,0.23752557,0.17908337,0.2066561,0.36796399,0.23377186,0.28473087,0.08773389333333333,0.20775501333333332,0.29548890666666666
220,0.11834912,0.04962238,0.0708408,0.24195622,0.18349416,0.21159739,0.36030534,0.23311654,0.28243819,0.0796041,0.21234925666666668,0.2919533566666666
240,0.10824679,0.04538819,0.06479519,0.24517007,0.18695953,0.21535574,0.35341686,0.23234772,0.28015093,0.07281005666666666,0.21582844666666667,0.28863850333333335
260,0.09968628,0.04179979,0.0596719,0.24735799,0.18961795,0.21811488,0.34704427,0.23141774,0.27778678,0.06705265666666667,0.21836360666666668,0.2854162633333333
280,0.09234548,0.03872241,0.05527836,0.24867826,0.19158317,0.22002597,0.34102374,0.23030557,0.27530433,0.062115416666666666,0.22009579999999998,0.2822112133333333
300,0.08598546,0.03605601,0.05147169,0.24926484,0.19295134,0.22121632,0.3352503,0.22900735,0.272688,0.05783772,0.22114416666666667,0.27898188333333335
320,0.08042523,0.03372482,0.04814362,0.24923234,0.19380517,0.22179462,0.32965757,0.22752999,0.26993824,0.05409789,0.22161071,0.2757086
340,0.0755253,0.03167038,0.0452107,0.24867921,0.19421644,0.22185429,0.32420451,0.22588683,0.26706499,0.05080212666666667,0.22158331333333334,0.2723854433333333
360,0.07117646,0.02984696,0.0426076,0.24769011,0.19424767,0.2214758,0.31886657,0.22409463,0.2640834,0.047877006666666666,0.22113786000000002,0.2690148666666667
380,0.06729206,0.02821823,0.04028247,0.24633777,0.19395336,0.22072852,0.31362983,0.2221716,0.26101099,0.04526425333333334,0.22033988333333332,0.26560414
400,0.06380251,0.02675504,0.03819367,0.24468456,0.19338106,0.21967221,0.30848707,0.22013611,0.25786588,0.04291707333333333,0.21924594333333333,0.26216301999999997
420,0.06065133,0.02543371,0.03630739,0.24278384,0.19257216,0.21835825,0.30343517,0.21800587,0.25466564,0.040797476666666666,0.21790474999999998,0.2587022266666667
440,0.05779217,0.02423482,0.0345959,0.24068123,0.19156267,0.21683076,0.2984734,0.21579748,0.25142667,0.03887429666666666,0.21635822000000002,0.2552325166666667
460,0.05518674,0.0231423,0.03303628,0.23841559,0.19038385,0.21512759,0.29360233,0.21352616,0.24816387,0.03712177333333334,0.21464234333333335,0.25176412000000004
480,0.05280307,0.02214277,0.0316094,0.23602,0.18906286,0.2132811,0.28882307,0.21120563,0.2448905,0.03551841333333333,0.21278798666666665,0.2483064
500,0.05061429,0.02122495,0.03029918,0.23352258,0.18762322,0.211319,0.28413687,0.20884817,0.24161818,0.034046139999999996,0.21082160000000003,0.24486774
520,0.0485977,0.02037933,0.02909202,0.23094717,0.1860853,0.2092649,0.27954486,0.20646463,0.23835693,0.03268968333333333,0.20876578999999998,0.24145547333333336
540,0.04673392,0.01959779,0.02797634,0.22831397,0.18446674,0.20713897,0.27504789,0.20406453,0.23511531,0.03143601666666667,0.20663989333333332,0.23807590999999997
560,0.04500638,0.01887337,0.02694221,0.22564007,0.18278279,0.20495836,0.27064645,0.20165616,0.23190057,0.03027398666666667,0.20446040666666665,0.23473439333333332
580,0.0434008,0.01820009,0.02598108,0.22293989,0.18104663,0.20273766,0.26634069,0.19924672,0.22871874,0.029193990000000003,0.20224139333333335,0.23143538333333333
600,0.0419048,0.01757276,0.02508554,0.22022558,0.17926965,0.20048925,0.26213038,0.19684241,0.22557479,0.0281877,0.19999482666666668,0.2281825266666667
