,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
20,0.96657337,0.63560247,0.64541472,0.03796709,0.02646202,0.02298324,1.00454046,0.6620645,0.66839797,0.7491968533333333,0.02913745,0.77833431
40,0.37474447,0.25460241,0.2591867,0.0924617,0.08490782,0.07837622,0.46720617,0.33951022,0.33756292,0.29617785999999996,0.08524858,0.38142643666666665
60,0.23654989,0.1625131,0.1655241,0.13272224,0.12756312,0.12095792,0.36927212,0.29007622,0.28648201,0.1881956966666667,0.12708109333333334,0.31527678333333337
80,0.17729812,0.12242232,0.12476625,0.16204742,0.15753705,0.15174176,0.33934554,0.27995937,0.27650801,0.14149556333333332,0.15710874333333333,0.29860430666666665
100,0.14352996,0.09937016,0.10133121,0.1837595,0.17925647,0.17445862,0.32728946,0.27862663,0.27578983,0.11474377666666667,0.17915819666666666,0.29390197333333334
120,0.12102874,0.08392299,0.08561963,0.20025924,0.19556558,0.19177261,0.32128798,0.27948857,0.27739224,0.09685712,0.19586581,0.29272293
140,0.10467335,0.07265389,0.07414993,0.21305568,0.20812674,0.20528788,0.31772903,0.28078064,0.27943781,0.08382572333333334,0.20882343333333334,0.29264916
160,0.09215289,0.06400601,0.06534239,0.22307854,0.21792023,0.21596421,0.31523143,0.28192624,0.2813066,0.07383376333333333,0.21898766,0.29282142333333333
180,0.08223537,0.05714439,0.05835018,0.23092715,0.22556034,0.22441045,0.31316252,0.28270473,0.28276063,0.06590998,0.22696598,0.29287596
200,0.0741835,0.0515668,0.0526638,0.23701568,0.23146399,0.23104475,0.31119917,0.28303079,0.28370856,0.05947136666666667,0.23317480666666668,0.29264617333333337
220,0.06752014,0.04694693,0.04795204,0.24165095,0.23593659,0.2361769,0.30917108,0.28288353,0.28412894,0.05413970333333334,0.23792148000000002,0.2920611833333333
240,0.0619195,0.04306126,0.04398785,0.24507332,0.23921584,0.24005024,0.30699282,0.2822771,0.28403809,0.049656203333333336,0.24144646666666666,0.29110267
260,0.05715034,0.03975073,0.04060958,0.24747843,0.24149441,0.24286356,0.30462877,0.28124514,0.28347314,0.045836883333333335,0.24394546666666664,0.28978235
280,0.05304359,0.03689884,0.03769872,0.24902923,0.24293244,0.24478301,0.30207281,0.27983128,0.28248173,0.04254705,0.24558156,0.2881286066666667
300,0.04947269,0.03441825,0.03516639,0.24986311,0.24366478,0.24594914,0.2993358,0.27808303,0.28111553,0.039685776666666665,0.24649234333333334,0.28617812000000004
320,0.04634105,0.03224221,0.03294466,0.25009659,0.24380574,0.24648148,0.29643764,0.27604795,0.27942614,0.037175973333333334,0.24679460333333333,0.28397057666666664
340,0.04357371,0.03031889,0.03098069,0.24982863,0.24345243,0.24648189,0.29340235,0.27377131,0.27746259,0.034957763333333336,0.24658765000000002,0.28154541666666666
360,0.04111164,0.02860741,0.02923287,0.24914329,0.2426874,0.24603714,0.29025494,0.27129481,0.27527001,0.03298397333333333,0.24595594333333334,0.27893992
380,0.03890775,0.02707516,0.02766794,0.24811189,0.2415808,0.24522108,0.28701964,0.26865596,0.27288902,0.031216950000000004,0.24497125666666666,0.2761882066666667
400,0.03692405,0.02569581,0.02625907,0.24679483,0.24019214,0.24409652,0.28371888,0.26588795,0.27035559,0.02962631,0.24369449666666668,0.27332080666666664
420,0.03512956,0.02444789,0.02498435,0.24524324,0.23857189,0.2427168,0.2803728,0.26301978,0.26770115,0.028187266666666665,0.24217730999999998,0.27036457666666663
440,0.03349881,0.02331372,0.02382575,0.24350031,0.23676277,0.24112715,0.27699912,0.26007649,0.26495291,0.026879426666666668,0.24046341000000002,0.26734284
460,0.03201063,0.02227862,0.02276831,0.24160251,0.23480094,0.23936594,0.27361313,0.25707956,0.26213425,0.02568585333333333,0.23858979666666666,0.26427564666666664
480,0.03064732,0.02133031,0.02179948,0.23958057,0.23271695,0.23746564,0.27022789,0.25404725,0.25926512,0.02459237,0.23658772000000003,0.2611800866666667
500,0.02939398,0.02045843,0.0209087,0.23746039,0.2305366,0.23545374,0.26685438,0.25099503,0.25636244,0.02358703666666667,0.23448357666666667,0.25807061666666664
520,0.02823796,0.01965419,0.02008701,0.23526379,0.22828167,0.2333535,0.26350175,0.24793587,0.25344051,0.022659719999999998,0.23229965333333333,0.2549593766666666
540,0.02716844,0.01891011,0.01932674,0.23300911,0.22597053,0.23118458,0.26017755,0.24488063,0.25051132,0.02180176333333333,0.23005474,0.2518565
560,0.02617617,0.01821972,0.01862132,0.23071178,0.22361862,0.22896359,0.25688794,0.24183835,0.24758491,0.021005736666666663,0.22776466333333334,0.24877040000000003
580,0.02525313,0.01757749,0.01796509,0.22838474,0.22123897,0.22670454,0.25363786,0.23881646,0.24466962,0.02026523666666667,0.22544275000000003,0.24570798000000002
600,0.02439238,0.01697857,0.0173531,0.22603886,0.21884251,0.22441925,0.25043124,0.23582109,0.24177235,0.019574683333333332,0.22310020666666666,0.24267489333333334
