,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
2,0.00067921,0.00062647,0.00068665,0.00051941,0.00047118,0.00051271,0.00119862,0.00109765,0.00119936,0.00066411,0.0005011,0.00116521
42,0.00852002,0.00770205,0.00933148,0.14206522,0.1284824,0.13386222,0.15058525,0.13618445,0.1431937,0.008517849999999999,0.13480328,0.14332113333333332
50,0.00855758,0.0079311,0.00966805,0.15574687,0.14192356,0.14729354,0.16430446,0.14985466,0.15696159,0.008718909999999998,0.14832132333333334,0.15704023666666667
62,0.0089551,0.00835105,0.01004975,0.17150037,0.15757324,0.16316141,0.18045547,0.16592429,0.17321116,0.009118633333333332,0.16407834000000002,0.17319697333333336
82,0.00921165,0.00874606,0.01049161,0.19031289,0.17600191,0.18185903,0.19952455,0.18474797,0.19235064,0.009483106666666666,0.18272461000000004,0.19220772
100,0.00919312,0.00891192,0.01077559,0.20225247,0.18743904,0.19345057,0.21144559,0.19635096,0.20422616,0.009626876666666668,0.19438069333333333,0.20400757
102,0.00938973,0.00901223,0.01079827,0.20326802,0.18848578,0.19462156,0.21265775,0.197498,0.20541982,0.00973341,0.19545845333333334,0.2051918566666667
142,0.00962028,0.0093388,0.01118752,0.21919842,0.20355535,0.21014399,0.2288187,0.21289415,0.22133151,0.010048866666666666,0.21096592000000003,0.22101478666666666
150,0.00946742,0.00930516,0.01124807,0.22145609,0.20558832,0.21214759,0.23092352,0.21489347,0.22339566,0.010006883333333334,0.213064,0.22307088333333333
182,0.00975561,0.00952035,0.01141032,0.22795245,0.21170004,0.21859018,0.23770806,0.22122039,0.2300005,0.010228760000000002,0.21941422333333335,0.22964298333333333
200,0.00960988,0.00949706,0.01148641,0.23069172,0.21415132,0.22103813,0.24030161,0.22364838,0.23252455,0.010197783333333333,0.22196039,0.23215818000000002
202,0.00980217,0.00958118,0.01148597,0.23085755,0.21438175,0.22138035,0.24065972,0.22396293,0.23286632,0.010289773333333333,0.22220655,0.23249632333333334
222,0.00983925,0.00962907,0.01154586,0.23313293,0.21647488,0.22356138,0.24297218,0.22610395,0.23510724,0.010338060000000001,0.22438972999999998,0.23472779
242,0.00986914,0.00966732,0.0115939,0.23494235,0.21813483,0.2252931,0.24481149,0.22780215,0.236887,0.010376786666666667,0.22612342666666665,0.23650021333333335
250,0.00968999,0.0096016,0.01161829,0.23565722,0.2187114,0.22579192,0.24534721,0.228313,0.23741022,0.010303293333333333,0.22672018000000002,0.23702347666666668
262,0.0098935,0.00969826,0.01163291,0.23640128,0.21947034,0.22668768,0.24629478,0.22916861,0.23832059,0.010408223333333333,0.2275197666666667,0.23792799333333334
282,0.00991356,0.00972361,0.01166495,0.23759251,0.22055888,0.22782524,0.24750607,0.23028249,0.23949019,0.01043404,0.2286588766666667,0.23909291666666665
300,0.00973841,0.00966369,0.01169728,0.2385812,0.22138257,0.22858299,0.24831961,0.23104627,0.24028027,0.01036646,0.2295155866666667,0.23988204999999999
302,0.00993025,0.00974459,0.01169153,0.23857631,0.22145658,0.22876398,0.24850656,0.23120117,0.24045551,0.010455456666666666,0.22959895666666666,0.24005441333333333
322,0.00994426,0.00976214,0.01171381,0.23939726,0.22220478,0.22954681,0.24934152,0.23196692,0.24126062,0.010473403333333332,0.23038295,0.24085635333333333
342,0.00995613,0.00977695,0.01173263,0.24008879,0.22283441,0.23020587,0.25004492,0.23261137,0.24193851,0.010488570000000001,0.23104302333333335,0.24153159999999999
350,0.00976952,0.00970319,0.01174777,0.24043093,0.22306704,0.23034555,0.25020045,0.23277023,0.24209331,0.010406826666666667,0.2312811733333333,0.24168799666666665
362,0.00996625,0.00978955,0.01174868,0.24067633,0.22336891,0.23076556,0.25064258,0.23315846,0.24251424,0.010501493333333332,0.23160360000000002,0.24210509333333333
382,0.00997495,0.00980036,0.01176244,0.24117943,0.22382626,0.23124463,0.25115438,0.23362662,0.24300708,0.010512583333333332,0.23208344000000003,0.2425960266666667
400,0.00979056,0.00972972,0.01178179,0.24166891,0.22419212,0.23152387,0.25145946,0.23392184,0.24330566,0.010434023333333334,0.23246163333333333,0.24289565333333332
402,0.00998248,0.00980969,0.01177434,0.24161333,0.22422046,0.23165767,0.25159581,0.23403015,0.24343201,0.010522169999999999,0.23249715333333335,0.24301932333333331
422,0.00998903,0.00981779,0.01178469,0.24199001,0.2245625,0.23201613,0.25197904,0.23438029,0.24380083,0.010530503333333335,0.2328562133333333,0.24338671999999997
442,0.00999476,0.00982488,0.01179375,0.242319,0.22486109,0.23232913,0.25231377,0.23468597,0.24412288,0.010537796666666667,0.23316974000000001,0.24370754000000003
450,0.00980539,0.00974835,0.01180572,0.24253549,0.22497858,0.23234807,0.25234087,0.23472693,0.24415379,0.010453153333333333,0.23328738000000002,0.24374052999999998
462,0.00999981,0.00983111,0.01180171,0.24260795,0.22512323,0.23260398,0.25260776,0.23495435,0.24440569,0.01054421,0.23344505333333335,0.24398926666666668
500,0.0098162,0.00976189,0.01182315,0.24316452,0.2255489,0.23294603,0.25298072,0.23531079,0.24476917,0.010467079999999998,0.2338864833333333,0.24435356
502,0.01000824,0.0098415,0.011815,0.24308932,0.22555973,0.23306172,0.25309756,0.23540123,0.24487672,0.010554913333333332,0.23390359000000002,0.2444585033333333
522,0.01001178,0.00984585,0.01182057,0.24329093,0.22574246,0.2332534,0.25330271,0.23558832,0.24507397,0.010559400000000002,0.23409559666666668,0.24465499999999998
542,0.01001495,0.00984975,0.01182557,0.24347131,0.22590592,0.23342486,0.25348626,0.23575567,0.24525043,0.010563423333333334,0.23426736333333334,0.2448307866666667
550,0.00982432,0.00977203,0.01183621,0.24363498,0.22597514,0.23339306,0.2534593,0.23574717,0.24522928,0.010477519999999999,0.23433439333333336,0.24481191666666668
562,0.0100178,0.00985325,0.01183005,0.24363332,0.22605269,0.23357884,0.25365112,0.23590594,0.2454089,0.010567033333333335,0.2344216166666667,0.24498865333333333
582,0.01002037,0.00985641,0.0118341,0.24377935,0.22618496,0.23371763,0.25379972,0.23604137,0.24555173,0.010570293333333333,0.23456064666666668,0.24513094
