,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
2,0.00060727,0.00060195,0.00059495,0.00050958,0.00049154,0.00051726,0.00111685,0.00109349,0.00111222,0.0006013899999999999,0.0005061266666666667,0.0011075199999999999
22,0.00710755,0.00616098,0.00722188,0.08824714,0.07609736,0.07952838,0.0953547,0.08225834,0.08675025,0.006830136666666667,0.08129096000000001,0.08812109666666668
42,0.00819552,0.00747665,0.00877219,0.14284515,0.1269542,0.13200896,0.15104068,0.13443084,0.14078115,0.00814812,0.13393610333333333,0.14208422333333334
62,0.00868218,0.00818211,0.00956993,0.17555775,0.15836088,0.16447751,0.18423993,0.16654299,0.17404745,0.008811406666666665,0.16613204666666667,0.17494345666666666
82,0.0089695,0.00861388,0.01005409,0.19824174,0.17993466,0.1869753,0.20721124,0.18854855,0.19702939,0.009212490000000002,0.18838389999999997,0.19759639333333334
102,0.00915731,0.00889697,0.01037291,0.21460495,0.19531813,0.20309767,0.22376226,0.20421511,0.21347058,0.00947573,0.20434025,0.21381598333333332
122,0.00928846,0.00909287,0.01059639,0.22665259,0.20656477,0.21491397,0.23594105,0.21565764,0.22551035,0.009659240000000001,0.21604377666666666,0.22570301333333334
142,0.0093846,0.00923447,0.01076075,0.23569507,0.21497028,0.2237608,0.24507968,0.22420475,0.23452154,0.009793273333333333,0.22480871666666669,0.23460199
162,0.00945756,0.00934033,0.01088587,0.24260593,0.22137569,0.23051347,0.25206349,0.23071602,0.24139935,0.009894586666666668,0.23149836333333332,0.24139295333333333
182,0.0095143,0.00942154,0.01098351,0.24797536,0.22634127,0.2357565,0.25748966,0.23576281,0.24674001,0.009973116666666669,0.23669104333333335,0.24666416
202,0.00955926,0.00948512,0.01106109,0.2522098,0.23024999,0.23988975,0.26176907,0.23973511,0.25095084,0.010035156666666668,0.24078317999999999,0.25081834
222,0.00959542,0.00953574,0.01112364,0.25559472,0.23336962,0.24319306,0.26519015,0.24290536,0.2543167,0.010084933333333334,0.24405246666666666,0.2541374033333333
242,0.00962488,0.00957662,0.0111747,0.25833424,0.23589102,0.24586616,0.26795911,0.24546764,0.25704086,0.0101254,0.24669713999999998,0.2568225366666667
262,0.00964913,0.00961004,0.01121681,0.2605767,0.23795254,0.24805404,0.27022583,0.24756257,0.25927085,0.01015866,0.2488610933333333,0.25901975
282,0.00966929,0.00963767,0.01125189,0.2624315,0.23965596,0.24986357,0.2721008,0.24929363,0.26111546,0.010186283333333332,0.25065034333333336,0.26083663
302,0.00968621,0.00966074,0.01128136,0.26398042,0.24107722,0.25137459,0.27366663,0.25073795,0.26265594,0.010209436666666667,0.25214407666666666,0.2623535066666667
322,0.00970053,0.00968017,0.01130632,0.26528533,0.24227367,0.25264751,0.27498586,0.25195385,0.26395383,0.010229006666666667,0.25340217,0.26363117999999996
342,0.00971274,0.00969669,0.01132762,0.26639362,0.24328919,0.25372859,0.27610635,0.25298587,0.26505621,0.010245683333333333,0.2544704666666666,0.2647161433333333
362,0.00972322,0.00971082,0.01134592,0.26734198,0.24415766,0.25465364,0.2770652,0.25386848,0.26599956,0.010259986666666667,0.25538442666666666,0.26564441333333333
382,0.00973227,0.009723,0.01136174,0.26815912,0.24490559,0.25545066,0.27789139,0.25462858,0.26681241,0.010272336666666666,0.25617179,0.26644412666666667
400,0.0100105,0.00985723,0.01139242,0.26863394,0.24544561,0.25614097,0.27864444,0.25530285,0.26753339,0.01042005,0.2567401733333334,0.26716022666666667
402,0.00974014,0.00973356,0.01137551,0.26886769,0.24555386,0.25614178,0.27860783,0.25528742,0.26751728,0.01028307,0.25685444333333335,0.26713751
422,0.00974702,0.00974278,0.01138755,0.26948577,0.24611911,0.25674461,0.27923279,0.25586189,0.26813216,0.01029245,0.25744983000000005,0.26774228
442,0.00975307,0.00975087,0.01139814,0.27002787,0.24661471,0.25727333,0.27978094,0.25636558,0.26867147,0.010300693333333333,0.25797197,0.2682726633333333
462,0.00975841,0.009758,0.01140749,0.27050576,0.24705148,0.25773942,0.28026418,0.25680947,0.26914691,0.010307966666666666,0.25843222,0.26874018666666666
482,0.00976315,0.00976432,0.01141579,0.27092906,0.24743824,0.25815225,0.28069221,0.25720255,0.26956804,0.01031442,0.25883985,0.26915426666666664
502,0.00976737,0.00976994,0.01142319,0.27130565,0.24778225,0.25851953,0.28107303,0.25755218,0.26994272,0.010320166666666667,0.2592024766666667,0.2695226433333333
522,0.00977115,0.00977496,0.01142981,0.27164209,0.2480895,0.25884765,0.28141324,0.25786446,0.27027745,0.010325306666666666,0.2595264133333333,0.2698517166666667
542,0.00977454,0.00977947,0.01143575,0.27194382,0.248365,0.2591419,0.28171836,0.25814447,0.27057765,0.01032992,0.2598169066666667,0.2701468266666667
562,0.00977759,0.00978352,0.01144111,0.27221539,0.24861293,0.25940675,0.28199299,0.25839645,0.27084786,0.010334073333333334,0.2600783566666667,0.2704124333333333
582,0.00978036,0.00978719,0.01144595,0.27246067,0.24883681,0.25964595,0.28224102,0.25862399,0.2710919,0.010337833333333333,0.2603144766666667,0.2706523033333334
600,0.0100544,0.00991492,0.01146802,0.27249372,0.24897275,0.2599061,0.28254811,0.25888767,0.27137412,0.010479113333333333,0.26045752333333333,0.27093663333333334
