,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
50,0.00833104,0.00896296,0.01019156,0.1497429,0.14408348,0.14703296,0.15807394,0.15304644,0.15722451,0.009161853333333332,0.14695311333333336,0.15611496333333333
100,0.00904572,0.00994901,0.0113911,0.19062678,0.18528906,0.1875306,0.19967249,0.19523807,0.19892169,0.010128610000000001,0.18781548,0.19794408333333335
150,0.00936537,0.01031613,0.01190155,0.20699759,0.2010688,0.20328529,0.21636296,0.21138493,0.21518685,0.010527683333333334,0.20378389333333335,0.21431158000000003
200,0.00952493,0.01048726,0.01214888,0.214707,0.20833661,0.21060237,0.22423193,0.21882387,0.22275125,0.010720356666666667,0.21121532666666668,0.22193568333333333
250,0.00961212,0.01057816,0.01228217,0.21879842,0.21215278,0.2144607,0.22841054,0.22273093,0.22674287,0.01082415,0.2151373,0.22596144666666665
300,0.00966389,0.01063137,0.01236074,0.22118874,0.21436953,0.21670721,0.23085262,0.2250009,0.22906795,0.010885333333333332,0.21742182666666668,0.22830715666666668
350,0.00969679,0.01066492,0.01241046,0.22269331,0.21576013,0.21811847,0.2323901,0.22642504,0.23052893,0.010924056666666666,0.21885730333333334,0.22978135666666666
400,0.00971887,0.01068732,0.01244375,0.22369695,0.21668572,0.21905867,0.23341582,0.22737304,0.23150242,0.010949979999999998,0.21981378,0.23076375999999998
450,0.00973435,0.01070298,0.01246706,0.22439788,0.21733119,0.21971474,0.23413223,0.22803418,0.23218179,0.01096813,0.22048126999999998,0.23144940000000003
500,0.00974561,0.01071434,0.01248398,0.22490583,0.21779847,0.2201899,0.23465144,0.22851281,0.23267387,0.01098131,0.22096473333333333,0.23194604
550,0.00975404,0.01072283,0.01249663,0.22528526,0.21814726,0.22054468,0.23503929,0.22887009,0.23304131,0.010991166666666668,0.2213257333333333,0.23231689666666666
600,0.0097605,0.01072934,0.01250634,0.22557593,0.2184143,0.22081637,0.23533643,0.22914364,0.23332271,0.010998726666666667,0.2216022,0.23260092666666665
650,0.00976557,0.01073443,0.01251394,0.22580339,0.21862318,0.22102894,0.23556896,0.22935761,0.23354288,0.011004646666666666,0.2218185033333333,0.23282314999999998
700,0.00976961,0.01073849,0.01252,0.22598467,0.2187896,0.22119831,0.23575428,0.22952809,0.23371831,0.011009366666666668,0.22199086,0.23300022666666667
750,0.00977289,0.01074178,0.0125249,0.22613143,0.21892428,0.22133541,0.23590432,0.22966606,0.23386031,0.011013189999999999,0.22213037333333333,0.23314356333333333
800,0.00977558,0.01074448,0.01252893,0.22625189,0.2190348,0.22144792,0.23602746,0.22977928,0.23397685,0.01101633,0.22224487,0.23326119666666667
850,0.00977781,0.01074672,0.01253228,0.22635195,0.2191266,0.22154137,0.23612976,0.22987332,0.23407366,0.011018936666666666,0.22233997333333333,0.23335891333333333
900,0.00977969,0.0107486,0.0125351,0.22643597,0.21920366,0.22161984,0.23621566,0.22995226,0.23415493,0.011021129999999999,0.22241982333333332,0.23344094999999998
950,0.00978128,0.0107502,0.01253748,0.22650719,0.21926898,0.22168635,0.23628848,0.23001918,0.23422383,0.011022986666666665,0.2224875066666667,0.23351049666666668
0,,,,,,,,,,,,
1000,0.00978265,0.01075156,0.01253952,0.22656809,0.21932482,0.22174321,0.23635074,0.23007638,0.23428273,0.011024576666666668,0.22254537333333332,0.23356995
