,x,y,z
0,,,
50,0.15807394,0.15304644,0.15722451
100,0.19967249,0.19523807,0.19892169
150,0.21636296,0.21138493,0.21518685
200,0.22423193,0.21882387,0.22275125
250,0.22841054,0.22273093,0.22674287
300,0.23085262,0.2250009,0.22906795
350,0.2323901,0.22642504,0.23052893
400,0.23341582,0.22737304,0.23150242
450,0.23413223,0.22803418,0.23218179
500,0.23465144,0.22851281,0.23267387
550,0.23503929,0.22887009,0.23304131
600,0.23533643,0.22914364,0.23332271
650,,,
700,,,
750,,,
800,,,
850,,,
900,,,
950,,,
1000,0.23635074,0.23007638,0.23428273
