,phxx,phyy,phzz,diffx,diffy,diffz,Totalxx,Totalyy,Totalzz,ph,diff,Total
20,1.05409941,0.61757049,0.69476303,0.03723893,0.02035268,0.01795379,1.09133834,0.63792317,0.71271682,0.7888109766666666,0.0251818,0.8139927766666668
40,0.44248077,0.26682576,0.30317486,0.08497933,0.06732427,0.06503334,0.52746009,0.33415003,0.3682082,0.3374937966666667,0.07244564666666667,0.40993944000000004
60,0.28896065,0.17635792,0.20066913,0.12611955,0.10794317,0.10755398,0.4150802,0.28430109,0.30822311,0.2219959,0.11387223333333334,0.3358681333333333
80,0.22047366,0.13538436,0.15410624,0.16050129,0.14092783,0.1426584,0.38097494,0.2763122,0.29676464,0.16998808666666668,0.14802917333333332,0.31801726
100,0.18041611,0.11117552,0.12656817,0.18811471,0.16707658,0.17059791,0.36853082,0.27825209,0.29716608,0.1393866,0.17526306666666666,0.31464966333333333
120,0.15332108,0.09468564,0.10780365,0.2100082,0.18773649,0.19267599,0.36332927,0.28242213,0.30047964,0.11860345666666668,0.19680689333333334,0.3154103466666667
140,0.13345152,0.08253434,0.09397401,0.22737494,0.20412623,0.21017514,0.36082646,0.28666057,0.30414916,0.10331995666666666,0.21389210333333333,0.3172120633333333
160,0.1181354,0.07313561,0.08327623,0.24119566,0.21718612,0.22409974,0.35933106,0.29032173,0.30737597,0.09151574666666668,0.22749384000000003,0.3190095866666667
180,0.1059221,0.06562234,0.07472401,0.2522152,0.22761805,0.23520153,0.35813729,0.29324038,0.30992554,0.08208948333333334,0.23834492666666665,0.32043440333333334
200,0.09593918,0.05946986,0.0677204,0.2609936,0.23594852,0.24404546,0.35693278,0.29541838,0.31176585,0.07437648000000001,0.24699585999999998,0.3213723366666667
220,0.08762281,0.05433734,0.06187755,0.26795705,0.24257884,0.25106334,0.35557986,0.29691617,0.31294089,0.0679459,0.25386641000000004,0.32181230666666666
240,0.08058863,0.04999145,0.05692998,0.2734355,0.24782022,0.25659106,0.35402412,0.29781167,0.31352104,0.06250335333333333,0.25928226,0.32178561
260,0.07456378,0.04626598,0.05268856,0.27768877,0.25191785,0.26089384,0.35225255,0.29818383,0.31358239,0.05783944,0.2635001533333334,0.32133958999999995
280,0.06934832,0.04303881,0.04901429,0.28092443,0.25506738,0.26418369,0.35027275,0.29810619,0.31319797,0.05380047333333334,0.26672516666666674,0.32052563666666667
300,0.06479196,0.0402179,0.04580245,0.28331033,0.2574267,0.2666317,0.34810229,0.2976446,0.31243416,0.05027077,0.26912291000000005,0.31939368333333334
320,0.06077934,0.0377325,0.04297253,0.28498358,0.25912436,0.26837713,0.34576292,0.29685686,0.31134966,0.047161456666666664,0.27082835666666666,0.3179898133333333
340,0.05722039,0.03552727,0.04046154,0.28605707,0.26026585,0.26953405,0.34327747,0.29579312,0.30999559,0.044403066666666664,0.27195232333333336,0.31635539333333335
360,0.05404374,0.03355829,0.03821949,0.28662448,0.26093833,0.27019653,0.34066822,0.29449662,0.30841602,0.04194050666666666,0.2725864466666667,0.31452695333333336
380,0.05119206,0.03179026,0.03620622,0.28676396,0.26121427,0.27044257,0.33795602,0.29300453,0.30664879,0.039729513333333334,0.27280693333333333,0.31253644666666663
400,0.04861883,0.0301945,0.03438908,0.2865411,0.26115423,0.27033719,0.33515993,0.29134873,0.30472627,0.03773413666666667,0.2726775066666667,0.3104116433333333
420,0.0462859,0.02874747,0.03274126,0.28601115,0.26080909,0.26993483,0.33229706,0.28955656,0.30267609,0.03592487666666667,0.27225169,0.30817657000000004
440,0.0441617,0.02742967,0.03124059,0.28522092,0.26022181,0.26928129,0.32938262,0.28765148,0.30052188,0.03427732,0.27157467333333335,0.30585199333333335
460,0.04221987,0.02622484,0.02986854,0.28421013,0.25942876,0.26841528,0.32643001,0.2856536,0.29828382,0.03277108333333333,0.2706847233333333,0.30345581
480,0.04043828,0.02511928,0.02860952,0.28301267,0.2584609,0.2673696,0.32345095,0.28358018,0.29597912,0.03138902666666667,0.26961439,0.30100341666666663
500,0.03879819,0.02410141,0.02745034,0.28165748,0.25734465,0.26617217,0.32045567,0.28144605,0.29362251,0.030116646666666667,0.2683914333333333,0.29850807666666673
520,0.03728363,0.02316134,0.02637975,0.28016937,0.25610261,0.26484682,0.317453,0.27926395,0.29122658,0.02894157333333333,0.2670396,0.2959811766666667
540,0.03588092,0.02229062,0.02538814,0.27856965,0.2547542,0.26341394,0.31445057,0.27704482,0.28880208,0.027853226666666665,0.2655792633333333,0.29343249
560,0.03457828,0.02148195,0.02446717,0.27687666,0.25331613,0.26189104,0.31145494,0.27479807,0.28635822,0.026842466666666665,0.2640279433333333,0.29087041
580,0.03336551,0.02072901,0.02360968,0.27510621,0.2518028,0.26029316,0.30847172,0.27253181,0.28390284,0.0259014,0.26240072333333336,0.2883021233333333
600,0.03223373,0.02002631,0.02280939,0.27327193,0.25022667,0.25863326,0.30550567,0.27025298,0.28144265,0.02502314333333333,0.26071061999999995,0.28573376666666667
